levity, 1, 0.000146113383985973
smut, -1, 0.000146113383985973
proven, 1, 7.68580431942203e-05
foully, -1, 0.000146113383985973
inept, -1, 0.000146113383985973
unsure, -2, 0.000146113383985973
inconsequential, -2, 0.000146113383985973
perverted, -1, 0.000146113383985973
supplied, 1, 7.68580431942203e-05
mistrial, -1, 7.68580431942203e-05
dwelling, 1, 7.68580431942203e-05
distinguished, 2, 0.000146113383985973
taken, 2, 7.68580431942203e-05
unfulfilled, -2, 0.000146113383985973
misexpound, -1, 7.68580431942203e-05
load, 1, 7.68580431942203e-05
uninfluenced, -1, 7.68580431942203e-05
misremembered, -1, 7.68580431942203e-05
bonkers, -2, 0.000146113383985973
keenly, 1, 0.000146113383985973
tantalizing, 1, 0.000146113383985973
feisty, 2, 0.000146113383985973
defiantly, -1, 0.000146113383985973
constrained, 1, 7.68580431942203e-05
agitation, -1, 0.000146113383985973
unfamiliar with, -1, 7.68580431942203e-05
torturous, -1, 0.000146113383985973
joyfully, 1, 0.000146113383985973
sculptured, 1, 7.68580431942203e-05
benignly, 1, 7.68580431942203e-05
trump, 1, 0.000146113383985973
unscratched, -1, 7.68580431942203e-05
counterproductive, -1, 0.000146113383985973
uncommitted, -1, 7.68580431942203e-05
felicity, 2, 0.000146113383985973
declared, 1, 7.68580431942203e-05
unmanageability, -1, 7.68580431942203e-05
motionless, -1, 0.000146113383985973
worryingly, -1, 0.000146113383985973
civility, 2, 0.000146113383985973
settling, 1, 7.68580431942203e-05
unite, 1, 7.68580431942203e-05
synthetic, 1, 7.68580431942203e-05
misdirecting, -1, 7.68580431942203e-05
artistic, 2, 7.68580431942203e-05
inimically, -1, 0.000146113383985973
disembarrassed, -1, 7.68580431942203e-05
unrevengefulness, -1, 7.68580431942203e-05
pleasingness, 2, 7.68580431942203e-05
exercise, 1, 7.68580431942203e-05
estranged, -1, 0.000146113383985973
sheathed, 1, 7.68580431942203e-05
haste, -2, 0.000146113383985973
uncertainly, -1, 7.68580431942203e-05
gruesome, -1, 0.000146113383985973
imprudence, -2, 0.000146113383985973
unpresumptuousness, -1, 7.68580431942203e-05
breathlessness, 2, 0.000146113383985973
favor, 4, 0.000146113383985973
lovable, 2, 0.000146113383985973
unfaithfulness, -1, 7.68580431942203e-05
unbooked, -1, 7.68580431942203e-05
unamazement, -1, 7.68580431942203e-05
wealthy, 1, 0.000146113383985973
enviable, 1, 0.000146113383985973
regretful, 1, 0.000146113383985973
indiscriminating, -2, 0.000146113383985973
unconsidered, -1, 7.68580431942203e-05
diseased, -1, 0.000146113383985973
unguardedly, -1, 7.68580431942203e-05
lucid, 1, 0.000146113383985973
satisfying, 2, 0.000146113383985973
address, 1, 7.68580431942203e-05
brokenly, 1, 7.68580431942203e-05
undamped, -1, 7.68580431942203e-05
restful, 3, 0.000146113383985973
unsusceptible, -1, 7.68580431942203e-05
unplanned, -1, 7.68580431942203e-05
unbeaten, -1, 7.68580431942203e-05
mallard, -1, 7.68580431942203e-05
siege, -1, 0.000146113383985973
nonalignment, -1, 7.68580431942203e-05
disrelated, -1, 7.68580431942203e-05
complicate, -1, 0.000146113383985973
manipulative, -1, 0.000146113383985973
mild, 1, 0.000146113383985973
immigrate, -1, 7.68580431942203e-05
disassemble, -1, 7.68580431942203e-05
impersonal, -2, 0.000146113383985973
unnotable, -1, 7.68580431942203e-05
nondivergently, -1, 7.68580431942203e-05
attentiveness, 1, 7.68580431942203e-05
unrealistic, -2, 0.000146113383985973
